Figure 4b,,
"Exports - Top 10 U.S. Partners for U.S. Waterborne Containerized Trade, 2005",,

,"Percent share of total TEUs, 2000","Percent share of total TEUs, 2005"
China (excluding Hong Kong),9.2,19.3
Japan,14.2,9.7
South Korea,6.3,5.3
Taiwan,4.4,4.6
Hong Kong,5.2,3.8
Belgium,3.5,3
United Kingdom,3.5,2.8
Germany,2.7,2.5
Netherlands,2.5,2.3
India,1.1,2
Others,47.5,44.7
"SOURCE:  U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on  data from U.S. Department of Transportation, Maritime Administration which are drawn from the Journal of Commerce, Port Import/Export Reporting Service (PIERS) data system, and available at www.marad.dot.gov, as of November 2006.",,
